iata_code,icao_code,airline,call_sign,country_region
"1A","",Amadeus IT Group S.A.,"",Global
"1B","",Sabre travel network Asia-Pacific (ex-Abacus),"",APAC
"1E","",Travelsky,"",China
"1F","","Infini travel information, Inc.","",Japan
"1G","",Travelport (Galileo core),"",Global
"1H","",Sirena travel,"",Russia
"1J","","Axess international network, Inc.","",Japan
"1M","",Sirin,"",Russia
"1P","",Travelport (Worldspan core),"",Global
"1S","",Sabre travel network,"",Global
"1T","",Hitit Computer Services,"",Turkey
"1U","",Google/ITA,"",United States
"2T",TBS,Timbis Air,"",Kenya
"3J",JUB,Jubba Airways,"",Kenya
Q5,MLA,"40-Mile Air",MILE-AIR,United States
"4D",ASD,Air Sinai,"",Egypt
"4R",SEK,Star East Airline,"",Romania
"4O",AIJ,Interjet,ABC Aerolineas,Mexico
"7A",XRC,Express Air Cargo,"",Tunisia
"7S",RYA,Ryan Air Services,RYAN AIR,United States
P6,PSC,Pascan Aviation,PASCAN,Canada
WP,ATW,Air Antwerp,DEVIL,Belgium
JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands
JU,ASL,Air Serbia,AIR SERBIA,Serbia
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
XK,CCM,Air Corsica,CORSICA,France
EI,EIN,Aer Lingus,SHAMROCK,Ireland
A8,XAU,Aerolink Uganda,PEARL,Uganda
RV,ROU,Air Canada Rouge,ROUGE,Canada
"7A",AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
"1B","",Abacus International,"",Singapore
W9,AAB,Abelag Aviation,ABG,Belgium
"6U",ACX,Air Cargo Germany,LOADMASTER,Germany
E4,RSO,Aero Asia International,AERO ASIA,Pakistan
ZI,AAF,Aigle Azur,AIGLE AZUR,France
AE,AE,Air Ceylon,"",Sri Lanka
OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea
"4K*",AAS,Askari Aviation,AL-ASS,Pakistan
"8U",AAW,Afriqiyah Airways,AFRIQIYAH,Libya
